,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
175,172,KL Rahul,422108,Shakib Al Hasan,56143,"Shakib Al Hasan to Rahul, 1 run uses his feet to a full ball on sixth stump, flicking to mid-on.",1st innings,28.4,run,175,1,175/0,"Shakib Al Hasan to Rahul, 1 run",,"uses his feet to a full ball on sixth stump, flicking to mid-on.",0
176,173,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, no run flighted on middle, pushed softly back to Shakib.",1st innings,28.5,no run,175,0,175/0,"Shakib Al Hasan to Sharma, no run",,"flighted on middle, pushed softly back to Shakib.",0
177,174,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, 1 run <b>another 100 for Rohit!</b> Short on sixth stump, flayed through cover to the sweeper. Fourth hundred in this World Cup, tying the record for one tournament with Sangakkara done in 2015. He takes his helmet off and salutes the crowd. He's not even close to being done.",1st innings,28.6,run,176,1,176/0,"Shakib Al Hasan to Sharma, 1 run",,"<b>another 100 for Rohit!</b> Short on sixth stump, flayed through cover to the sweeper. Fourth hundred in this World Cup, tying the record for one tournament with Sangakkara done in 2015. He takes his helmet off and salutes the crowd. He's not even close to being done.",0
178,175,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, FOUR runs short of a length on the hips, clipped wide of short fine leg and beats deep square leg too.",1st innings,29.1,four,180,4,180/0,"Soumya Sarkar to Sharma, FOUR runs",,"short of a length on the hips, clipped wide of short fine leg and beats deep square leg too.",0
179,176,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, OUT <strong>so much for all the talk of a double-hundred! Soumya strikes with his golden arm!</strong> Offcutter on fifth stump on a good length, Rohit mistimes a lofted drive over extra cover. Liton Das backpedals from the ring and takes a simple catch. The end of a fabulous knock and a brilliant opening stand.",1st innings,29.2,out,180,0,180/1,"Soumya Sarkar to Sharma, OUT",,"<strong>so much for all the talk of a double-hundred! Soumya strikes with his golden arm!</strong> Offcutter on fifth stump on a good length, Rohit mistimes a lofted drive over extra cover. Liton Das backpedals from the ring and takes a simple catch. The end of a fabulous knock and a brilliant opening stand.",1
180,177,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, 1 run good length ball on the legs, clipped through square leg.",1st innings,29.3,run,181,1,181/1,"Soumya Sarkar to Rahul, 1 run",,"good length ball on the legs, clipped through square leg.",1
181,178,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, no run fullish length ball on fourth stump, defended to midwicket.",1st innings,29.4,no run,181,0,181/1,"Soumya Sarkar to Kohli, no run",,"fullish length ball on fourth stump, defended to midwicket.",1
182,179,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, no run good length ball on fifth stump, steps forward to defend to extra cover.",1st innings,29.5,no run,181,0,181/1,"Soumya Sarkar to Kohli, no run",,"good length ball on fifth stump, steps forward to defend to extra cover.",1
183,180,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, no run good length ball on fifth stump, defended to midwicket.",1st innings,29.6,no run,181,0,181/1,"Soumya Sarkar to Kohli, no run",,"good length ball on fifth stump, defended to midwicket.",1
184,181,KL Rahul,422108,Rubel Hossain,300619,"Rubel Hossain to Rahul, no run length, outside off, and he defends",1st innings,30.1,no run,181,0,181/1,"Rubel Hossain to Rahul, no run",,"length, outside off, and he defends",1
